Year,Month,Day,Hour,DA,ID,Price_EUR_MWh,Volume_MWh,Hour_Sin,Hour_Cos,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Year_Scaled,Diff
2024.0,11.0,11.0,5.0,80.66,81.5,,,0.9659258262890683,0.25881904510252074,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-0.8400000000000034
2024.0,11.0,11.0,6.0,80.2,82.85,,,1.0,6.123233995736766e-17,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-2.6499999999999915
2024.0,11.0,11.0,7.0,84.1,86.69,,,0.9659258262890683,-0.25881904510252063,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-2.5900000000000034
2024.0,11.0,11.0,8.0,105.72,109.99,,,0.8660254037844387,-0.4999999999999998,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-4.269999999999996
2024.0,11.0,11.0,9.0,109.0,112.5,,,0.7071067811865476,-0.7071067811865475,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-3.5
2024.0,11.0,11.0,10.0,79.9,82.98,,,0.49999999999999994,-0.8660254037844387,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-3.0799999999999983
2024.0,11.0,11.0,11.0,50.24,47.76,,,0.258819045102521,-0.9659258262890682,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,2.480000000000004
2024.0,11.0,11.0,12.0,45.2,24.23,,,1.2246467991473532e-16,-1.0,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,20.970000000000002
2024.0,11.0,11.0,13.0,33.49,36.67,,,-0.2588190451025208,-0.9659258262890683,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-3.1799999999999997
2024.0,11.0,11.0,14.0,15.2,19.38,,,-0.4999999999999997,-0.8660254037844388,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-4.18
2024.0,11.0,11.0,15.0,7.0,13.06,,,-0.7071067811865471,-0.7071067811865479,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-6.0600000000000005
2024.0,11.0,11.0,16.0,5.0,7.47,,,-0.8660254037844384,-0.5000000000000004,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-2.4699999999999998
2024.0,11.0,11.0,17.0,65.63,71.63,,,-0.9659258262890683,-0.25881904510252063,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-6.0
2024.0,11.0,11.0,18.0,106.7,109.76,,,-1.0,-1.8369701987210297e-16,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-3.0600000000000023
2024.0,11.0,11.0,19.0,115.89,123.32,,,-0.9659258262890684,0.2588190451025203,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-7.429999999999993
2024.0,11.0,11.0,20.0,116.86,120.5,,,-0.8660254037844386,0.5000000000000001,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-3.6400000000000006
2024.0,11.0,11.0,21.0,109.69,111.7,,,-0.7071067811865477,0.7071067811865474,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-2.010000000000005
2024.0,11.0,11.0,22.0,96.73,97.88,,,-0.5000000000000004,0.8660254037844384,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-1.1499999999999915
2024.0,11.0,11.0,23.0,88.92,89.42,,,-0.25881904510252157,0.9659258262890681,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-0.5
2024.0,11.0,11.0,24.0,78.2,67.86,,,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,10.340000000000003
2024.0,11.0,12.0,1.0,65.0,52.89,,,0.25881904510252074,0.9659258262890683,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,12.11
2024.0,11.0,12.0,2.0,49.97,56.85,,,0.49999999999999994,0.8660254037844387,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-6.880000000000003
2024.0,11.0,12.0,3.0,49.78,57.01,,,0.7071067811865475,0.7071067811865476,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-7.229999999999997
2024.0,11.0,12.0,4.0,45.38,49.01,,,0.8660254037844386,0.5000000000000001,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-3.6299999999999955
2024.0,11.0,12.0,5.0,31.24,33.71,,,0.9659258262890683,0.25881904510252074,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-2.4700000000000024
2024.0,11.0,12.0,6.0,49.84,46.09,,,1.0,6.123233995736766e-17,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,3.75
2024.0,11.0,12.0,7.0,70.2,39.17,,,0.9659258262890683,-0.25881904510252063,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,31.03
2024.0,11.0,12.0,8.0,102.66,65.19,,,0.8660254037844387,-0.4999999999999998,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,37.47
2024.0,11.0,12.0,9.0,102.67,65.27,,,0.7071067811865476,-0.7071067811865475,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,37.400000000000006
2024.0,11.0,12.0,10.0,69.98,40.93,,,0.49999999999999994,-0.8660254037844387,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,29.050000000000004
2024.0,11.0,12.0,11.0,4.31,7.78,,,0.258819045102521,-0.9659258262890682,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-3.4700000000000006
2024.0,11.0,12.0,12.0,3.32,-2.28,,,1.2246467991473532e-16,-1.0,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,5.6
2024.0,11.0,12.0,13.0,3.32,-4.13,,,-0.2588190451025208,-0.9659258262890683,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,7.449999999999999
2024.0,11.0,12.0,14.0,3.32,-9.09,,,-0.4999999999999997,-0.8660254037844388,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,12.41
2024.0,11.0,12.0,15.0,3.32,-7.85,,,-0.7071067811865471,-0.7071067811865479,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,11.17
2024.0,11.0,12.0,16.0,3.32,-5.57,,,-0.8660254037844384,-0.5000000000000004,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,8.89
2024.0,11.0,12.0,17.0,49.84,7.4,,,-0.9659258262890683,-0.25881904510252063,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,42.440000000000005
2024.0,11.0,12.0,18.0,102.67,88.77,,,-1.0,-1.8369701987210297e-16,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,13.900000000000006
2024.0,11.0,12.0,19.0,115.06,102.86,,,-0.9659258262890684,0.2588190451025203,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,12.200000000000003
2024.0,11.0,12.0,20.0,120.76,114.61,,,-0.8660254037844386,0.5000000000000001,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,6.150000000000006
2024.0,11.0,12.0,21.0,128.86,114.01,,,-0.7071067811865477,0.7071067811865474,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,14.850000000000009
2024.0,11.0,12.0,22.0,120.28,110.99,,,-0.5000000000000004,0.8660254037844384,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,9.290000000000006
2024.0,11.0,12.0,23.0,119.92,112.52,,,-0.25881904510252157,0.9659258262890681,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,7.400000000000006
2024.0,11.0,12.0,24.0,113.87,96.93,,,-2.4492935982947064e-16,1.0,0.6513724827222223,-0.7587581226927909,-0.5000000000000004,0.8660254037844384,0.7000000000000001,16.939999999999998
2024.0,11.0,13.0,1.0,100.13,103.25,,,0.25881904510252074,0.9659258262890683,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-3.1200000000000045
2024.0,11.0,13.0,2.0,99.47,105.77,,,0.49999999999999994,0.8660254037844387,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-6.299999999999997
2024.0,11.0,13.0,3.0,99.12,102.13,,,0.7071067811865475,0.7071067811865476,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-3.009999999999991
2024.0,11.0,13.0,4.0,95.33,87.11,,,0.8660254037844386,0.5000000000000001,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,8.219999999999999
2024.0,11.0,13.0,5.0,91.82,86.48,,,0.9659258262890683,0.25881904510252074,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,5.339999999999989
2024.0,11.0,13.0,6.0,94.9,78.23,,,1.0,6.123233995736766e-17,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,16.67
2024.0,11.0,13.0,7.0,104.09,66.42,,,0.9659258262890683,-0.25881904510252063,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,37.67
2024.0,11.0,13.0,8.0,120.0,119.35,,,0.8660254037844387,-0.4999999999999998,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,0.6500000000000057
2024.0,11.0,13.0,9.0,121.76,122.45,,,0.7071067811865476,-0.7071067811865475,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-0.6899999999999977
2024.0,11.0,13.0,10.0,120.86,117.8,,,0.49999999999999994,-0.8660254037844387,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,3.0600000000000023
2024.0,11.0,13.0,11.0,104.09,107.49,,,0.258819045102521,-0.9659258262890682,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-3.3999999999999915
2024.0,11.0,13.0,12.0,84.9,103.73,,,1.2246467991473532e-16,-1.0,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-18.83
2024.0,11.0,13.0,13.0,82.99,102.95,,,-0.2588190451025208,-0.9659258262890683,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-19.960000000000008
2024.0,11.0,13.0,14.0,83.2,105.31,,,-0.4999999999999997,-0.8660254037844388,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-22.11
2024.0,11.0,13.0,15.0,84.9,106.59,,,-0.7071067811865471,-0.7071067811865479,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-21.689999999999998
2024.0,11.0,13.0,16.0,95.97,104.41,,,-0.8660254037844384,-0.5000000000000004,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-8.439999999999998
2024.0,11.0,13.0,17.0,112.35,115.18,,,-0.9659258262890683,-0.25881904510252063,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-2.8300000000000125
2024.0,11.0,13.0,18.0,116.28,110.33,,,-1.0,-1.8369701987210297e-16,0.48530196253108104,-0.8743466161445821,-0.5000000000000004,0.8660254037844384,0.7000000000000001,5.950000000000003
