Year,Month,Day,Hour,DA ES
2023.0,1.0,25.0,24.0,64.8
2023.0,1.0,26.0,1.0,70.78
2023.0,1.0,26.0,2.0,60.6
2023.0,1.0,26.0,3.0,59.16
2023.0,1.0,26.0,4.0,59.0
2023.0,1.0,26.0,5.0,55.0
2023.0,1.0,26.0,6.0,59.16
2023.0,1.0,26.0,7.0,59.16
2023.0,1.0,26.0,8.0,69.99
2023.0,1.0,26.0,9.0,94.87
2023.0,1.0,26.0,10.0,83.0
2023.0,1.0,26.0,11.0,66.81
2023.0,1.0,26.0,12.0,59.6
2023.0,1.0,26.0,13.0,59.0
2023.0,1.0,26.0,14.0,56.1
2023.0,1.0,26.0,15.0,53.4
2023.0,1.0,26.0,16.0,53.1
2023.0,1.0,26.0,17.0,59.16
2023.0,1.0,26.0,18.0,73.01
2023.0,1.0,26.0,19.0,77.92
2023.0,1.0,26.0,20.0,99.54
2023.0,1.0,26.0,21.0,99.76
2023.0,1.0,26.0,22.0,80.0
2023.0,1.0,26.0,23.0,59.16
2023.0,1.0,26.0,24.0,50.27
2023.0,1.0,27.0,1.0,48.8
2023.0,1.0,27.0,2.0,48.0
2023.0,1.0,27.0,3.0,35.69
2023.0,1.0,27.0,4.0,33.27
2023.0,1.0,27.0,5.0,30.0
2023.0,1.0,27.0,6.0,35.69
2023.0,1.0,27.0,7.0,45.28
2023.0,1.0,27.0,8.0,49.69
2023.0,1.0,27.0,9.0,68.37
2023.0,1.0,27.0,10.0,57.62
2023.0,1.0,27.0,11.0,47.0
2023.0,1.0,27.0,12.0,30.0
2023.0,1.0,27.0,13.0,21.2
2023.0,1.0,27.0,14.0,20.0
2023.0,1.0,27.0,15.0,15.0
2023.0,1.0,27.0,16.0,18.0
2023.0,1.0,27.0,17.0,26.74
2023.0,1.0,27.0,18.0,48.02
2023.0,1.0,27.0,19.0,52.43
2023.0,1.0,27.0,20.0,78.0
2023.0,1.0,27.0,21.0,82.01
2023.0,1.0,27.0,22.0,78.0
