Year,Month,Day,Hour,DA,ID,Diff,Hour_Sin,Hour_Cos,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Year_Scaled,Gas_Price
2023,8.0,9.0,5.0,94.25,98.24,-3.989999999999995,0.9659258262890683,0.25881904510252074,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,6.0,96.5,103.1,-6.599999999999994,1.0,6.123233995736766e-17,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,7.0,98.16,110.42,-12.260000000000005,0.9659258262890683,-0.25881904510252063,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,8.0,105.7,115.0,-9.299999999999997,0.8660254037844387,-0.4999999999999998,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,9.0,106.44,114.26,-7.820000000000007,0.7071067811865476,-0.7071067811865475,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,10.0,99.66,103.17,-3.510000000000005,0.49999999999999994,-0.8660254037844387,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,11.0,89.96,95.16,-5.200000000000003,0.258819045102521,-0.9659258262890682,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,12.0,85.69,91.0,-5.310000000000002,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,13.0,83.33,108.16,-24.83,-0.2588190451025208,-0.9659258262890683,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,14.0,80.85,111.56,-30.710000000000008,-0.4999999999999997,-0.8660254037844388,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,15.0,80.01,133.0,-52.989999999999995,-0.7071067811865471,-0.7071067811865479,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,16.0,79.51,112.76,-33.25,-0.8660254037844384,-0.5000000000000004,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,17.0,80.5,110.99,-30.489999999999995,-0.9659258262890683,-0.25881904510252063,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,18.0,84.0,130.81,-46.81,-1.0,-1.8369701987210297e-16,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,19.0,98.53,117.78,-19.25,-0.9659258262890684,0.2588190451025203,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,20.0,117.56,139.9,-22.340000000000003,-0.8660254037844386,0.5000000000000001,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,21.0,123.86,134.0,-10.14,-0.7071067811865477,0.7071067811865474,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,22.0,130.81,140.0,-9.189999999999998,-0.5000000000000004,0.8660254037844384,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,23.0,122.47,145.0,-22.53,-0.25881904510252157,0.9659258262890681,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,24.0,122.84,137.0,-14.159999999999997,-2.4492935982947064e-16,1.0,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,10.0,1.0,117.57,122.57,-5.0,0.25881904510252074,0.9659258262890683,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,2.0,112.58,121.0,-8.420000000000002,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,3.0,111.24,119.64,-8.400000000000006,0.7071067811865475,0.7071067811865476,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,4.0,111.24,116.24,-5.0,0.8660254037844386,0.5000000000000001,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,5.0,110.54,115.54,-5.0,0.9659258262890683,0.25881904510252074,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,6.0,112.41,115.67,-3.260000000000005,1.0,6.123233995736766e-17,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,7.0,114.07,126.96,-12.89,0.9659258262890683,-0.25881904510252063,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,8.0,112.58,125.51,-12.930000000000007,0.8660254037844387,-0.4999999999999998,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,9.0,107.44,125.51,-18.070000000000007,0.7071067811865476,-0.7071067811865475,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,10.0,107.44,118.18,-10.740000000000009,0.49999999999999994,-0.8660254037844387,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,11.0,105.5,112.53,-7.030000000000001,0.258819045102521,-0.9659258262890682,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,12.0,86.21,117.71,-31.5,1.2246467991473532e-16,-1.0,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,13.0,85.1,109.33,-24.230000000000004,-0.2588190451025208,-0.9659258262890683,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,14.0,84.5,96.11,-11.61,-0.4999999999999997,-0.8660254037844388,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,15.0,83.5,94.49,-10.989999999999995,-0.7071067811865471,-0.7071067811865479,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,16.0,82.51,92.7,-10.189999999999998,-0.8660254037844384,-0.5000000000000004,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,17.0,82.21,94.28,-12.070000000000007,-0.9659258262890683,-0.25881904510252063,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,18.0,91.28,106.0,-14.719999999999999,-1.0,-1.8369701987210297e-16,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,19.0,100.42,126.15,-25.730000000000004,-0.9659258262890684,0.2588190451025203,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,20.0,109.25,123.15,-13.900000000000006,-0.8660254037844386,0.5000000000000001,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,21.0,120.25,164.5,-44.25,-0.7071067811865477,0.7071067811865474,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,22.0,125.51,147.28,-21.769999999999996,-0.5000000000000004,0.8660254037844384,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
2023,8.0,10.0,23.0,124.82,147.28,-22.460000000000008,-0.25881904510252157,0.9659258262890681,0.8978045395707416,-0.4403941515576344,-0.8660254037844384,-0.5000000000000004,0.6,38.46
